Run Num,Sample Bag,      Date/Time,     Timestamp,HR Delta iCH4 Mean,HR Delta iCH4 Std,HP Delta iCH4 Mean,HP Delta iCH4 Std, Delta 13CO2 Mean, Delta 13CO2 Std,    HR 12CH4 Mean,    HR 12CH4 Std,    HR 13CH4 Mean,    HR 13CH4 Std,    HP 12CH4 Mean,    HP 12CH4 Std,    HP 13CH4 Mean,    HP 13CH4 Std,       12CO2 Mean,       12CO2 Std,       13CO2 Mean,       13CO2 Std,         H2O Mean,         H2O Std,  ChemDetect Mean,Valve Position,  Standard Delta iCH4,  Standard Delta iCO2,       Standard 13CH4,       Standard 13CO2
     11,         1,05/30/19 12:34:36,1559233950.74525,           12.467,           46.915,          -36.121,           34.203,          -21.986,           5.857,            0.272,           0.010,            0.003,           0.000,            0.267,           0.001,            0.003,           0.000,           71.716,           0.126,            0.789,           0.005,            0.052,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     12,         1,05/30/19 12:47:13,1559234707.65347,            1.585,           36.655,          -42.603,           28.705,          -19.517,           4.373,            0.310,           0.009,            0.003,           0.000,            0.306,           0.001,            0.003,           0.000,           81.564,           0.132,            0.900,           0.004,            0.064,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     13,         1,05/30/19 12:58:24,1559235378.65910,           -9.515,           34.925,          -42.322,           21.208,          -15.949,           4.246,            0.408,           0.010,            0.005,           0.000,            0.405,           0.001,            0.004,           0.000,           92.314,           0.135,            1.022,           0.004,            0.088,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     14,         1,05/30/19 13:09:22,1559236036.59553,          -15.481,           32.739,          -45.654,           23.027,          -16.928,           4.121,            0.398,           0.009,            0.004,           0.000,            0.394,           0.001,            0.004,           0.000,           97.097,           0.144,            1.074,           0.005,            0.089,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     15,         1,05/30/19 14:04:15,1559239329.29836,          -35.298,           11.026,          -46.299,            6.761,          -13.530,           1.231,            1.338,           0.012,            0.015,           0.000,            1.358,           0.002,            0.015,           0.000,          338.330,           0.274,            3.787,           0.005,            0.554,           0.004,            0.000,              ,                     ,                     ,                     ,                     
     16,         1,05/30/19 14:15:25,1559239999.58792,           19.358,           58.282,          -40.218,           42.036,          -27.089,           4.424,            0.220,           0.008,            0.003,           0.000,            0.215,           0.000,            0.002,           0.000,          103.330,           0.162,            1.131,           0.005,            0.056,           0.004,            0.000,              ,                     ,                     ,                     ,                     
     17,         1,05/30/19 14:26:23,1559240657.20178,           12.064,           49.527,          -34.633,           35.427,          -17.862,           6.642,            0.250,           0.010,            0.003,           0.000,            0.244,           0.000,            0.003,           0.000,           56.887,           0.130,            0.628,           0.004,            0.044,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     18,         1,05/30/19 14:37:37,1559241331.74996,            4.081,           51.310,          -46.623,           35.372,          -23.065,           5.195,            0.252,           0.010,            0.003,           0.000,            0.247,           0.000,            0.003,           0.000,           76.205,           0.150,            0.837,           0.005,            0.041,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     19,         1,05/30/19 14:49:15,1559242030.76773,          -35.559,            9.520,          -45.435,            6.720,          -13.199,           1.300,            1.419,           0.010,            0.016,           0.000,            1.440,           0.002,            0.016,           0.000,          367.258,           0.245,            4.114,           0.005,            0.572,           0.001,            0.000,              ,                     ,                     ,                     ,                     
     20,         1,05/30/19 15:00:32,1559242706.69915,           39.320,           82.679,          -32.363,           55.429,          -29.457,           3.750,            0.165,           0.010,            0.002,           0.000,            0.158,           0.000,            0.002,           0.000,          100.574,           0.136,            1.098,           0.004,            0.033,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     21,         1,05/30/19 15:18:08,1559243761.59448,           39.462,           83.151,          -24.313,           55.746,          -23.968,           9.645,            0.160,           0.010,            0.002,           0.000,            0.151,           0.000,            0.002,           0.000,           39.441,           0.108,            0.433,           0.004,            0.046,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     22,         1,05/30/19 15:29:33,1559244448.07193,           22.594,           59.243,          -48.266,           48.642,          -26.243,           5.414,            0.191,           0.007,            0.002,           0.000,            0.186,           0.000,            0.002,           0.000,           68.073,           0.126,            0.745,           0.004,            0.029,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     23,         1,05/30/19 15:41:22,1559245156.46464,           10.593,           49.878,          -39.653,           29.304,          -25.971,           2.456,            0.293,           0.010,            0.003,           0.000,            0.289,           0.000,            0.003,           0.000,          154.120,           0.163,            1.688,           0.004,            0.032,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     24,         1,05/30/19 15:52:11,1559245806.13265,           26.630,           73.555,          -37.757,           49.738,          -28.873,           3.089,            0.187,           0.010,            0.002,           0.000,            0.180,           0.000,            0.002,           0.000,          106.570,           0.150,            1.163,           0.004,            0.022,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     25,         1,05/30/19 16:34:43,1559248357.21269,           24.885,           69.313,          -32.242,           47.999,          -21.260,           7.710,            0.190,           0.010,            0.002,           0.000,            0.183,           0.000,            0.002,           0.000,           44.603,           0.144,            0.491,           0.004,            0.049,           0.004,            0.000,              ,                     ,                     ,                     ,                     
     26,         1,05/30/19 16:46:41,1559249076.02050,           14.960,           76.044,          -49.407,           46.183,          -29.005,           4.565,            0.186,           0.010,            0.002,           0.000,            0.178,           0.000,            0.002,           0.000,           72.178,           0.137,            0.788,           0.004,            0.027,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     27,         1,05/30/19 16:58:57,1559249811.76759,            7.766,           41.187,          -38.997,           34.780,          -18.312,           6.126,            0.286,           0.008,            0.003,           0.000,            0.282,           0.001,            0.003,           0.000,           59.701,           0.143,            0.659,           0.004,            0.030,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     28,         1,05/30/19 17:10:57,1559250532.27605,           24.645,           51.629,          -37.969,           37.769,          -20.983,          10.328,            0.200,           0.008,            0.002,           0.000,            0.193,           0.000,            0.002,           0.000,           41.268,           0.121,            0.454,           0.005,            0.023,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     29,         1,05/30/19 17:23:07,1559251261.64979,           41.238,           81.210,          -37.574,           55.583,          -27.832,          10.394,            0.175,           0.010,            0.002,           0.000,            0.169,           0.000,            0.002,           0.000,           40.356,           0.117,            0.441,           0.005,            0.021,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     30,         1,05/30/19 17:34:16,1559251930.66640,           30.576,           67.614,          -46.039,           50.056,          -23.639,           9.500,            0.174,           0.008,            0.002,           0.000,            0.168,           0.000,            0.002,           0.000,           39.548,           0.101,            0.434,           0.004,            0.016,           0.002,            0.000,              ,                     ,                     ,                     ,                     
