Run Num,Sample Bag,      Date/Time,     Timestamp,HR Delta iCH4 Mean,HR Delta iCH4 Std,HP Delta iCH4 Mean,HP Delta iCH4 Std, Delta 13CO2 Mean, Delta 13CO2 Std,    HR 12CH4 Mean,    HR 12CH4 Std,    HR 13CH4 Mean,    HR 13CH4 Std,    HP 12CH4 Mean,    HP 12CH4 Std,    HP 13CH4 Mean,    HP 13CH4 Std,       12CO2 Mean,       12CO2 Std,       13CO2 Mean,       13CO2 Std,         H2O Mean,         H2O Std,  ChemDetect Mean,Valve Position,  Standard Delta iCH4,  Standard Delta iCO2,       Standard 13CH4,       Standard 13CO2
      1,         1,05/30/19 10:10:16,1559225290.77005,           11.152,           66.217,          -41.972,           48.675,          -24.934,           8.994,            0.203,           0.009,            0.002,           0.000,            0.199,           0.000,            0.002,           0.000,           46.172,           0.173,            0.507,           0.005,            0.128,           0.006,            0.000,              ,                     ,                     ,                     ,                     
      2,         1,05/30/19 10:21:39,1559225973.49757,           12.675,           57.630,          -34.697,           35.646,          -25.592,           6.209,            0.229,           0.010,            0.003,           0.000,            0.224,           0.000,            0.002,           0.000,           57.547,           0.143,            0.631,           0.004,            0.083,           0.004,            0.000,              ,                     ,                     ,                     ,                     
      3,         1,05/30/19 10:32:55,1559226650.39848,           10.547,           65.197,          -44.864,           39.626,          -27.933,           5.724,            0.223,           0.009,            0.003,           0.000,            0.218,           0.000,            0.002,           0.000,           66.534,           0.113,            0.728,           0.004,            0.067,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      4,         1,05/30/19 10:45:07,1559227381.99299,           -3.665,           38.859,          -38.425,           29.844,          -22.526,           5.430,            0.292,           0.008,            0.003,           0.000,            0.287,           0.001,            0.003,           0.000,           71.096,           0.144,            0.782,           0.005,            0.099,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      5,         1,05/30/19 10:57:53,1559228147.45356,           -8.583,           28.500,          -38.725,           19.437,          -22.255,           3.963,            0.419,           0.009,            0.005,           0.000,            0.417,           0.001,            0.005,           0.000,          104.083,           0.141,            1.146,           0.005,            0.105,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      6,         1,05/30/19 11:35:32,1559230407.21392,            8.884,           57.537,          -46.424,           37.926,          -23.476,           5.775,            0.235,           0.011,            0.003,           0.000,            0.232,           0.001,            0.002,           0.000,           70.751,           0.168,            0.778,           0.005,            0.086,           0.005,            0.000,              ,                     ,                     ,                     ,                     
      7,         1,05/30/19 11:47:44,1559231138.18661,           13.454,           50.174,          -36.865,           43.251,          -20.216,           7.314,            0.238,           0.008,            0.003,           0.000,            0.233,           0.000,            0.003,           0.000,           51.792,           0.129,            0.571,           0.004,            0.055,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      8,         1,05/30/19 11:58:39,1559231794.00742,            9.835,           44.306,          -40.858,           31.231,          -21.649,           5.274,            0.255,           0.010,            0.003,           0.000,            0.250,           0.001,            0.003,           0.000,           63.218,           0.137,            0.696,           0.004,            0.050,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      9,         1,05/30/19 12:11:29,1559232563.73496,            2.666,           36.509,          -40.592,           24.261,          -22.070,           3.335,            0.355,           0.010,            0.004,           0.000,            0.354,           0.001,            0.004,           0.000,          108.835,           0.141,            1.197,           0.004,            0.072,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     10,         1,05/30/19 12:23:39,1559233294.51527,           -6.114,           27.230,          -42.063,           17.377,          -17.881,           3.701,            0.431,           0.010,            0.005,           0.000,            0.432,           0.001,            0.005,           0.000,          101.371,           0.143,            1.121,           0.004,            0.098,           0.002,            0.000,              ,                     ,                     ,                     ,                     
