Run Num,Sample Bag,      Date/Time,     Timestamp,HR Delta iCH4 Mean,HR Delta iCH4 Std,HP Delta iCH4 Mean,HP Delta iCH4 Std, Delta 13CO2 Mean, Delta 13CO2 Std,    HR 12CH4 Mean,    HR 12CH4 Std,    HR 13CH4 Mean,    HR 13CH4 Std,    HP 12CH4 Mean,    HP 12CH4 Std,    HP 13CH4 Mean,    HP 13CH4 Std,       12CO2 Mean,       12CO2 Std,       13CO2 Mean,       13CO2 Std,         H2O Mean,         H2O Std,  ChemDetect Mean,Valve Position,  Standard Delta iCH4,  Standard Delta iCO2,       Standard 13CH4,       Standard 13CO2
      1,         1,05/28/19 09:53:01,1559051454.89127,          -74.892,            2.344,          -84.909,            1.604,          -30.901,           0.428,            5.678,           0.014,            0.059,           0.000,            5.704,           0.010,            0.059,           0.000,          995.607,           0.698,           10.866,           0.009,            0.126,           0.007,            0.000,              ,                     ,                     ,                     ,                     
      2,         1,05/28/19 10:05:10,1559052184.35531,          -72.373,            0.321,      9999999.000,            0.000,          -32.746,           0.463,           36.017,           0.058,            0.376,           0.001,           27.738,           0.000,      9999999.000,           0.000,         1357.849,           1.101,           14.779,           0.012,            0.078,           0.004,            0.000,              ,                     ,                     ,                     ,                     
      3,         1,05/28/19 10:17:10,1559052904.48243,          -76.353,            0.576,      9999999.000,            0.000,          -31.900,           0.458,           17.937,           0.031,            0.186,           0.000,           17.367,           0.000,      9999999.000,           0.000,         1396.011,           1.105,           15.202,           0.014,            0.058,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      4,         1,05/28/19 10:29:59,1559053673.42373,          -76.070,            0.475,      9999999.000,            0.000,          -32.291,           0.372,           22.716,           0.037,            0.236,           0.000,           20.393,           0.000,      9999999.000,           0.000,         1698.863,           1.181,           18.489,           0.014,            0.048,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      5,         1,05/28/19 10:42:48,1559054442.03455,          -74.992,            0.661,      9999999.000,            0.000,          -31.515,           0.486,           14.836,           0.026,            0.154,           0.000,           14.757,           0.000,      9999999.000,           0.000,         1331.290,           1.142,           14.502,           0.012,            0.053,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      6,         1,05/28/19 10:55:09,1559055183.74702,          -75.143,            1.808,          -85.207,            1.256,          -31.516,           0.420,            7.723,           0.018,            0.080,           0.000,            7.760,           0.013,            0.080,           0.000,         1405.436,           1.168,           15.308,           0.013,            0.047,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      7,         1,05/28/19 11:31:38,1559057372.22105,          -73.112,            0.410,      9999999.000,            0.000,          -32.953,           0.398,           33.849,           0.056,            0.353,           0.001,           27.295,           0.000,      9999999.000,           0.000,         1270.197,           0.938,           13.823,           0.011,            0.084,           0.005,            0.000,              ,                     ,                     ,                     ,                     
      8,         1,05/28/19 11:45:29,1559058203.45865,          -38.661,           14.238,          -59.962,           10.918,          -22.885,           2.753,            0.830,           0.009,            0.009,           0.000,            0.830,           0.002,            0.009,           0.000,          137.582,           0.214,            1.512,           0.005,            0.055,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      9,         1,05/28/19 11:57:24,1559058917.84041,          -72.522,            2.776,          -83.645,            2.036,          -30.057,           0.649,            4.625,           0.014,            0.048,           0.000,            4.646,           0.008,            0.048,           0.000,          749.500,           0.622,            8.176,           0.008,            0.048,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     10,         1,05/28/19 12:09:31,1559059644.31859,          -69.532,            0.560,      9999999.000,            0.000,          -31.706,           0.613,           20.211,           0.034,            0.211,           0.000,           19.302,           0.000,      9999999.000,           0.000,          806.661,           0.678,            8.785,           0.009,            0.050,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     11,         1,05/28/19 12:21:05,1559060339.92070,          -72.384,            1.087,          -80.588,            0.845,          -28.276,           0.456,           13.521,           0.024,            0.142,           0.000,           13.594,           0.022,            0.141,           0.000,         1143.834,           0.783,           12.561,           0.009,            0.324,           0.001,            0.000,              ,                     ,                     ,                     ,                     
     12,         1,05/28/19 12:32:17,1559061011.06285,          -77.829,            0.556,      9999999.000,            0.000,          -32.265,           0.399,           23.308,           0.037,            0.242,           0.000,           20.829,           0.000,      9999999.000,           0.000,         1627.471,           1.254,           17.712,           0.014,            0.045,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     13,         1,05/28/19 12:43:53,1559061707.94364,          -71.932,            0.412,      9999999.000,            0.000,          -32.716,           0.427,           29.244,           0.046,            0.305,           0.000,           26.148,           0.000,      9999999.000,           0.000,         1109.384,           0.886,           12.066,           0.010,            0.036,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     14,         1,05/28/19 12:55:35,1559062409.64536,          -75.460,            0.466,      9999999.000,            0.000,          -32.313,           0.403,           22.323,           0.040,            0.232,           0.000,           19.490,           0.000,      9999999.000,           0.000,         1665.636,           1.255,           18.122,           0.015,            0.030,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     15,         1,05/28/19 13:06:31,1559063064.95337,          -73.822,            2.484,          -84.019,            1.591,          -30.660,           0.547,            5.880,           0.016,            0.061,           0.000,            5.906,           0.010,            0.061,           0.000,         1045.034,           0.951,           11.391,           0.010,            0.042,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     16,         1,05/28/19 13:20:36,1559063910.47515,          -75.310,            0.704,      9999999.000,            0.000,          -31.942,           0.413,           18.333,           0.034,            0.191,           0.000,           17.078,           0.000,      9999999.000,           0.000,         1627.234,           1.214,           17.709,           0.014,            0.025,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     17,         1,05/28/19 13:34:53,1559064767.27463,          -73.475,            0.356,      9999999.000,            0.000,          -33.292,           0.364,           51.357,           0.086,            0.535,           0.001,           44.855,           0.000,      9999999.000,           0.000,         1892.059,           1.447,           20.562,           0.017,            0.025,           0.001,            0.000,              ,                     ,                     ,                     ,                     
     18,         1,05/28/19 14:21:58,1559067592.32602,          -76.404,            0.459,      9999999.000,            0.000,          -32.134,           0.317,           24.765,           0.041,            0.257,           0.000,           20.911,           0.000,      9999999.000,           0.000,         1921.876,           1.281,           20.925,           0.015,            0.063,           0.005,            0.000,              ,                     ,                     ,                     ,                     
     19,         1,05/28/19 14:35:14,1559068388.42160,          -73.857,            0.521,      9999999.000,            0.000,          -31.370,           0.484,           18.273,           0.028,            0.190,           0.000,           17.449,           0.000,      9999999.000,           0.000,         1278.745,           1.065,           13.928,           0.012,            0.038,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     20,         1,05/28/19 14:47:57,1559069151.16735,          -75.386,            0.463,      9999999.000,            0.000,          -31.679,           0.466,           20.422,           0.034,            0.212,           0.000,           18.356,           0.000,      9999999.000,           0.000,         1523.060,           1.217,           16.580,           0.014,            0.026,           0.002,            0.000,              ,                     ,                     ,                     ,                     
