Run Num,Sample Bag,      Date/Time,     Timestamp,HR Delta iCH4 Mean,HR Delta iCH4 Std,HP Delta iCH4 Mean,HP Delta iCH4 Std, Delta 13CO2 Mean, Delta 13CO2 Std,    HR 12CH4 Mean,    HR 12CH4 Std,    HR 13CH4 Mean,    HR 13CH4 Std,    HP 12CH4 Mean,    HP 12CH4 Std,    HP 13CH4 Mean,    HP 13CH4 Std,       12CO2 Mean,       12CO2 Std,       13CO2 Mean,       13CO2 Std,         H2O Mean,         H2O Std,  ChemDetect Mean,Valve Position,  Standard Delta iCH4,  Standard Delta iCO2,       Standard 13CH4,       Standard 13CO2
      1,         1,05/24/19 09:49:32,1558705646.09586,          -72.751,            0.734,      9999999.000,            0.000,          -26.307,           0.367,           15.932,           0.028,            0.166,           0.000,           15.532,           0.000,      9999999.000,           0.000,         1429.820,           0.995,           15.673,           0.012,            0.106,           0.006,            0.000,              ,                     ,                     ,                     ,                     
      2,         1,05/24/19 10:01:15,1558706349.53809,          -72.879,            2.288,          -82.482,            1.531,          -26.821,           0.411,            6.451,           0.016,            0.067,           0.000,            6.479,           0.011,            0.067,           0.000,         1315.308,           0.949,           14.400,           0.012,            0.066,           0.004,            0.000,              ,                     ,                     ,                     ,                     
      3,         1,05/24/19 10:12:55,1558707049.80206,          -66.643,            0.313,      9999999.000,            0.000,          -24.100,           0.384,           36.890,           0.060,            0.387,           0.001,           32.674,           0.000,      9999999.000,           0.000,         1599.508,           1.128,           17.556,           0.015,            0.050,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      4,         1,05/24/19 10:25:15,1558707789.12038,          -70.930,            0.629,      9999999.000,            0.000,          -25.185,           0.371,           20.056,           0.032,            0.210,           0.000,           19.035,           0.000,      9999999.000,           0.000,         1735.396,           1.269,           19.024,           0.013,            0.045,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      5,         1,05/24/19 10:37:17,1558708511.48448,          -67.995,            0.540,      9999999.000,            0.000,          -24.939,           0.413,           24.388,           0.043,            0.256,           0.000,           22.084,           0.000,      9999999.000,           0.000,         1977.863,           1.551,           21.686,           0.018,            0.040,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      6,         1,05/24/19 10:49:38,1558709252.73859,          -69.438,            0.522,      9999999.000,            0.000,          -25.385,           0.372,           21.512,           0.037,            0.225,           0.000,           19.982,           0.000,      9999999.000,           0.000,         1820.249,           1.443,           19.947,           0.017,            0.034,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      7,         1,05/24/19 11:01:26,1558709959.85313,          -72.622,            0.642,      9999999.000,            0.000,          -26.263,           0.493,           16.492,           0.027,            0.172,           0.000,           16.048,           0.000,      9999999.000,           0.000,         1501.262,           1.325,           16.436,           0.014,            0.031,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      8,         1,05/24/19 11:47:39,1558712733.81401,          -72.421,            1.905,          -82.484,            1.466,          -26.940,           0.409,            6.189,           0.013,            0.065,           0.000,            6.218,           0.011,            0.064,           0.000,         1295.201,           0.911,           14.177,           0.011,            0.059,           0.005,            0.000,              ,                     ,                     ,                     ,                     
      9,         1,05/24/19 11:59:00,1558713415.19907,          -72.087,            1.994,          -82.383,            1.267,          -26.945,           0.515,            6.379,           0.015,            0.067,           0.000,            6.410,           0.011,            0.066,           0.000,         1336.760,           1.042,           14.626,           0.014,            0.038,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     10,         1,05/24/19 12:10:25,1558714099.22984,          -66.977,            0.311,      9999999.000,            0.000,          -24.023,           0.352,           39.645,           0.063,            0.416,           0.001,           34.022,           0.000,      9999999.000,           0.000,         1743.148,           1.317,           19.129,           0.014,            0.035,           0.003,            0.000,              ,                     ,                     ,                     ,                     
