Sample #,Wt.mg,Ampl.,PercC,d13C,AtomPer13C,,,
127,0.805,5100,51.80,-27.53,1.075546,,,
128,1.387,8051,51.45,-27.78,1.075269,,,
129,1.221,7275,51.58,-27.80,1.075255,,,
130,1.501,8520,50.88,-26.13,1.077082,,,
131,1.156,6998,51.95,-26.37,1.076821,,,
132,1.139,6832,51.38,-26.32,1.076869,,,
133,1.240,7237,50.43,-28.42,1.074579,,,
134,0.796,5076,51.93,-28.10,1.074927,,,
135,1.148,7035,52.60,-28.42,1.074574,,,
136,0.902,5806,53.49,-39.57,1.062376,,,
137,1.170,7345,54.55,-27.69,1.075374,,,
138,1.075,7008,56.17,-27.77,1.075282,,,
139,1.170,7541,56.51,-27.99,1.075040,,,
140,0.978,7807,70.22,-28.05,1.074980,,,
141,1.026,6806,56.91,-40.67,1.061173,,,
142,0.932,6243,56.56,-40.47,1.061393,,,
143,0.956,6352,56.13,-40.45,1.061407,,,
144,0.882,5822,54.90,-39.74,1.062187,,,
145,1.543,9331,55.98,-27.69,1.075370,,,
146,0.961,6377,55.99,-27.83,1.075219,,,
147,1.235,7827,55.78,-27.91,1.075128,,,
148,1.204,7738,56.69,-28.00,1.075034,,,
149,0.959,6414,56.54,-40.51,1.061341,,,
150,1.000,6541,55.46,-40.15,1.061733,,,
151,0.860,5592,54.04,-40.12,1.061776,,,
152,1.266,8089,56.72,-27.82,1.075231,,,
153,0.892,6050,56.53,-27.99,1.075039,,,
154,0.979,6575,57.12,-28.16,1.074856,,,
155,1.084,6987,55.37,-40.95,1.060861,,,
156,0.874,5870,55.74,-40.47,1.061390,,,
157,1.051,6827,55.42,-40.54,1.061306,,,
158,0.954,6324,55.78,-39.89,1.062018,,,
159,1.320,8190,55.29,-27.67,1.075391,,,
160,1.038,6900,56.74,-27.68,1.075383,,,
161,0.904,6161,56.94,-27.99,1.075043,,,
162,1.251,8086,57.29,-27.91,1.075130,,,
163,1.039,6825,55.87,-40.72,1.061116,,,
164,0.848,5746,55.83,-40.53,1.061324,,,
165,1.058,6856,55.25,-40.12,1.061770,,,
166,1.207,7053,50.01,-26.43,1.076747,,,
167,1.431,8108,49.90,-26.71,1.076443,,,
168,1.558,8720,50.39,-27.50,1.075584,,,
169,0.831,5179,50.40,-27.65,1.075412,,,
170,1.319,7737,50.89,-26.98,1.076154,,,
171,1.171,6940,50.25,-26.88,1.076258,,,
172,1.148,6795,50.17,-26.87,1.076274,,,
173,1.293,7482,49.93,-27.32,1.075782,,,
174,1.556,8679,49.72,-39.89,1.062023,,,
175,1.343,7838,50.82,-39.91,1.062002,,,
176,1.288,7413,49.60,-40.52,1.061337,,,
177,1.198,7098,50.70,-39.63,1.062303,,,
178,1.131,6656,49.42,-40.37,1.061497,,,
179,1.029,6272,50.58,-39.81,1.062112,,,
180,1.183,7010,50.31,-39.52,1.062430,,,
181,1.013,5962,48.77,-26.88,1.076255,,,
182,1.065,3711,50.54,-39.95,1.061961,,,
183,1.297,4431,50.18,-39.70,1.062234,,,
184,1.484,4915,49.12,-39.88,1.062030,,,
185,1.564,5242,50.41,-39.63,1.062302,,,
186,1.243,4191,49.77,-40.46,1.061403,,,
187,1.550,5199,50.42,-39.60,1.062341,,,
188,1.266,4224,49.01,-40.30,1.061578,,,
189,1.585,5258,50.22,-39.65,1.062285,,,
190,1.580,5313,50.59,-40.45,1.061415,,,
191,1.491,4956,49.17,-39.74,1.062188,,,
192,1.682,5614,50.52,-39.94,1.061970,,,
193,1.531,5048,50.05,-40.14,1.061746,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
