Run Num,Sample Bag,      Date/Time,     Timestamp,HR Delta iCH4 Mean,HR Delta iCH4 Std,HP Delta iCH4 Mean,HP Delta iCH4 Std, Delta 13CO2 Mean, Delta 13CO2 Std,    HR 12CH4 Mean,    HR 12CH4 Std,    HR 13CH4 Mean,    HR 13CH4 Std,    HP 12CH4 Mean,    HP 12CH4 Std,    HP 13CH4 Mean,    HP 13CH4 Std,       12CO2 Mean,       12CO2 Std,       13CO2 Mean,       13CO2 Std,         H2O Mean,         H2O Std,  ChemDetect Mean,Valve Position,  Standard Delta iCH4,  Standard Delta iCO2,       Standard 13CH4,       Standard 13CO2
      1,         1,05/27/19 09:41:50,1558964384.56822,          -73.169,            0.666,      9999999.000,            0.000,          -30.832,           0.504,           16.857,           0.028,            0.176,           0.000,           16.146,           0.000,      9999999.000,           0.000,         1135.914,           0.897,           12.395,           0.010,            0.113,           0.006,            0.000,              ,                     ,                     ,                     ,                     
      2,         1,05/27/19 09:54:06,1558965120.44419,          -71.669,            1.372,          -80.527,            0.852,          -29.977,           0.555,            9.388,           0.018,            0.098,           0.000,            9.430,           0.016,            0.098,           0.000,          775.149,           0.626,            8.459,           0.007,            0.067,           0.004,            0.000,              ,                     ,                     ,                     ,                     
      3,         1,05/27/19 10:05:19,1558965792.68128,          -73.838,            3.214,          -84.249,            2.363,          -29.616,           0.748,            4.536,           0.013,            0.047,           0.000,            4.553,           0.008,            0.047,           0.000,          675.168,           0.541,            7.369,           0.007,            0.050,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      4,         1,05/27/19 10:17:29,1558966523.76159,          -68.455,            0.561,      9999999.000,            0.000,          -31.633,           0.605,           20.148,           0.035,            0.211,           0.000,           18.206,           0.000,      9999999.000,           0.000,          817.405,           0.699,            8.901,           0.008,            0.043,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      5,         1,05/27/19 10:29:39,1558967253.20074,          -76.107,            0.590,      9999999.000,            0.000,          -31.875,           0.496,           20.934,           0.031,            0.217,           0.000,           18.559,           0.000,      9999999.000,           0.000,         1383.028,           1.046,           15.057,           0.010,            0.042,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      6,         1,05/27/19 10:41:01,1558967934.73304,          -74.222,            0.661,      9999999.000,            0.000,          -30.740,           0.494,           16.851,           0.027,            0.175,           0.000,           16.354,           0.000,      9999999.000,           0.000,         1187.015,           0.852,           12.936,           0.010,            0.035,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      7,         1,05/27/19 11:19:07,1558970222.44656,          -73.518,            0.702,      9999999.000,            0.000,          -30.944,           0.435,           15.613,           0.025,            0.163,           0.000,           15.341,           0.000,      9999999.000,           0.000,         1103.309,           0.855,           12.030,           0.010,            0.075,           0.004,            0.000,              ,                     ,                     ,                     ,                     
      8,         1,05/27/19 11:31:00,1558970934.26303,          -72.719,            1.188,          -81.361,            0.926,          -30.580,           0.535,           10.130,           0.020,            0.106,           0.000,           10.172,           0.017,            0.105,           0.000,          848.831,           0.725,            9.253,           0.007,            0.042,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      9,         1,05/27/19 11:42:40,1558971633.91131,          -73.817,            2.638,          -84.406,            2.048,          -29.748,           0.701,            4.711,           0.013,            0.049,           0.000,            4.729,           0.008,            0.049,           0.000,          722.933,           0.542,            7.887,           0.008,            0.034,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     10,         1,05/27/19 11:54:50,1558972364.19083,          -69.297,            0.438,      9999999.000,            0.000,          -31.762,           0.564,           23.378,           0.037,            0.245,           0.000,           20.925,           0.000,      9999999.000,           0.000,          934.137,           0.705,           10.170,           0.010,            0.035,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     11,         1,05/27/19 12:06:33,1558973067.19790,          -77.111,            0.548,      9999999.000,            0.000,          -32.028,           0.421,           20.901,           0.034,            0.217,           0.000,           19.397,           0.000,      9999999.000,           0.000,         1415.058,           1.109,           15.399,           0.011,            0.026,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     12,         1,05/27/19 12:18:06,1558973760.98599,          -75.068,            0.530,      9999999.000,            0.000,          -31.337,           0.441,           18.918,           0.032,            0.197,           0.000,           18.191,           0.000,      9999999.000,           0.000,         1385.705,           1.032,           15.089,           0.013,            0.023,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     13,         1,05/27/19 12:30:15,1558974489.77220,          -74.570,            0.577,      9999999.000,            0.000,          -32.055,           0.379,           17.218,           0.027,            0.179,           0.000,           16.433,           0.000,      9999999.000,           0.000,         1232.692,           0.945,           13.412,           0.012,            0.018,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     14,         1,05/27/19 12:43:09,1558975263.59079,          -73.156,            1.254,          -82.122,            0.857,          -30.754,           0.523,           10.774,           0.021,            0.112,           0.000,           10.822,           0.018,            0.112,           0.000,          929.731,           0.842,           10.131,           0.009,            0.026,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     15,         1,05/27/19 12:54:39,1558975954.06230,          -73.879,            3.396,          -84.815,            2.231,          -29.988,           0.615,            3.989,           0.015,            0.042,           0.000,            4.002,           0.007,            0.041,           0.000,          641.056,           0.545,            6.991,           0.007,            0.025,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     16,         1,05/27/19 14:21:40,1558981173.87116,          -70.494,            0.514,      9999999.000,            0.000,          -32.045,           0.538,           21.024,           0.033,            0.220,           0.000,           19.109,           0.000,      9999999.000,           0.000,          819.407,           0.612,            8.924,           0.008,            0.075,           0.005,            0.000,              ,                     ,                     ,                     ,                     
     17,         1,05/27/19 14:33:21,1558981874.27169,          -77.333,            0.462,      9999999.000,            0.000,          -32.327,           0.432,           24.681,           0.040,            0.256,           0.000,           21.504,           0.000,      9999999.000,           0.000,         1679.755,           1.193,           18.278,           0.013,            0.041,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     18,         1,05/27/19 14:44:07,1558982521.84073,          -75.025,            0.621,      9999999.000,            0.000,          -31.367,           0.417,           17.959,           0.031,            0.187,           0.000,           17.317,           0.000,      9999999.000,           0.000,         1350.747,           1.018,           14.713,           0.013,            0.040,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     19,         1,05/27/19 14:55:41,1558983214.86429,          -74.712,            0.458,      9999999.000,            0.000,          -32.109,           0.419,           21.565,           0.037,            0.224,           0.000,           20.412,           0.000,      9999999.000,           0.000,         1566.858,           1.218,           17.051,           0.013,            0.032,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     20,         1,05/27/19 15:06:23,1558983858.06605,          -73.764,            1.038,          -82.230,            0.772,          -31.063,           0.539,           12.117,           0.021,            0.126,           0.000,           12.167,           0.020,            0.126,           0.000,         1052.611,           0.903,           11.467,           0.011,            0.029,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     21,         1,05/27/19 15:44:08,1558986121.86432,          -74.216,            2.739,          -84.601,            2.013,          -30.242,           0.536,            4.892,           0.014,            0.051,           0.000,            4.911,           0.008,            0.051,           0.000,          804.342,           0.650,            8.774,           0.007,            0.057,           0.004,            0.000,              ,                     ,                     ,                     ,                     
     22,         1,05/27/19 15:54:47,1558986761.91788,          -71.222,            0.426,      9999999.000,            0.000,          -32.768,           0.453,           30.658,           0.048,            0.320,           0.001,           26.765,           0.000,      9999999.000,           0.000,         1154.182,           0.880,           12.552,           0.011,            0.035,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     23,         1,05/27/19 16:06:07,1558987441.76833,          -78.137,            0.478,      9999999.000,            0.000,          -32.292,           0.475,           22.936,           0.037,            0.238,           0.000,           21.304,           0.000,      9999999.000,           0.000,         1579.771,           1.307,           17.186,           0.014,            0.023,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     24,         1,05/27/19 16:17:52,1558988146.23198,          -75.883,            0.529,      9999999.000,            0.000,          -32.046,           0.423,           21.581,           0.037,            0.224,           0.000,           20.194,           0.000,      9999999.000,           0.000,         1635.819,           1.309,           17.799,           0.014,            0.020,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     25,         1,05/27/19 16:28:56,1558988810.51889,          -75.481,            0.485,      9999999.000,            0.000,          -32.340,           0.326,           22.339,           0.037,            0.232,           0.000,           19.767,           0.000,      9999999.000,           0.000,         1642.329,           1.203,           17.865,           0.014,            0.021,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     26,         1,05/27/19 16:39:37,1558989451.82834,          -74.787,            0.687,      9999999.000,            0.000,          -31.516,           0.436,           14.680,           0.024,            0.153,           0.000,           14.655,           0.000,      9999999.000,           0.000,         1292.155,           1.019,           14.068,           0.012,            0.023,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     27,         1,05/27/19 16:50:16,1558990090.50488,          -74.592,            2.101,          -85.133,            1.498,          -30.804,           0.572,            5.900,           0.013,            0.061,           0.000,            5.926,           0.010,            0.061,           0.000,         1007.788,           0.871,           10.981,           0.010,            0.027,           0.002,            0.000,              ,                     ,                     ,                     ,                     
