Run Num,Sample Bag,      Date/Time,     Timestamp,HR Delta iCH4 Mean,HR Delta iCH4 Std,HP Delta iCH4 Mean,HP Delta iCH4 Std, Delta 13CO2 Mean, Delta 13CO2 Std,    HR 12CH4 Mean,    HR 12CH4 Std,    HR 13CH4 Mean,    HR 13CH4 Std,    HP 12CH4 Mean,    HP 12CH4 Std,    HP 13CH4 Mean,    HP 13CH4 Std,       12CO2 Mean,       12CO2 Std,       13CO2 Mean,       13CO2 Std,         H2O Mean,         H2O Std,  ChemDetect Mean,Valve Position,  Standard Delta iCH4,  Standard Delta iCO2,       Standard 13CH4,       Standard 13CO2
      1,         1,05/26/19 17:26:47,1558905881.69984,          -39.961,            1.506,          -44.509,            1.228,          -13.705,          13.620,            6.546,           0.013,            0.071,           0.000,            6.568,           0.011,            0.071,           0.000,           26.537,           0.171,            0.295,           0.004,            0.128,           0.006,            0.000,              ,                     ,                     ,                     ,                     
      2,         1,05/26/19 17:37:56,1558906550.93045,          -39.959,            1.350,          -44.231,            0.899,          -17.604,          14.140,            9.409,           0.018,            0.102,           0.000,            9.443,           0.016,            0.102,           0.000,           23.994,           0.125,            0.265,           0.004,            0.081,           0.004,            0.000,              ,                     ,                     ,                     ,                     
      3,         1,05/26/19 17:49:13,1558907227.25373,          -74.408,            0.808,      9999999.000,            0.000,          -31.234,           0.607,           16.410,           0.026,            0.171,           0.000,           15.952,           0.000,      9999999.000,           0.000,         1040.168,           0.784,           11.336,           0.009,            0.062,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      4,         1,05/26/19 18:00:07,1558907882.19959,          -72.339,            1.065,          -80.548,            0.666,          -29.646,           0.610,           13.160,           0.023,            0.137,           0.000,           13.216,           0.023,            0.137,           0.000,          855.654,           0.693,            9.338,           0.009,            0.051,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      5,         1,05/26/19 18:11:08,1558908542.63821,          -71.609,            0.948,          -79.710,            0.689,          -30.183,           0.577,           14.083,           0.023,            0.147,           0.000,           14.145,           0.023,            0.146,           0.000,          889.896,           0.691,            9.706,           0.008,            0.045,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      6,         1,05/26/19 18:22:10,1558909204.75621,          -70.719,            1.309,        25619.541,           58.695,          -29.449,           0.804,            7.539,           0.013,            0.079,           0.000,            0.268,           0.000,            0.080,           0.000,          601.312,           0.563,            6.563,           0.007,            0.040,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      7,         1,05/26/19 18:33:16,1558909870.67836,          -71.640,            2.935,        11704.019,           43.194,          -29.008,           0.866,            3.616,           0.009,            0.038,           0.000,            0.268,           0.000,            0.038,           0.000,          519.810,           0.423,            5.675,           0.006,            0.035,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      8,         1,05/26/19 18:44:21,1558910535.98044,          -65.555,            0.759,        46434.201,           81.089,          -30.723,           0.777,           13.335,           0.021,            0.140,           0.000,            0.268,           0.000,            0.143,           0.000,          559.752,           0.420,            6.100,           0.006,            0.034,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      9,         1,05/26/19 19:21:56,1558912790.53901,          -75.548,            0.682,      9999999.000,            0.000,          -31.472,           0.377,           19.655,           0.034,            0.204,           0.000,            0.268,           0.000,      9999999.000,           0.000,         1302.871,           0.926,           14.198,           0.012,            0.073,           0.005,            0.000,              ,                     ,                     ,                     ,                     
     10,         1,05/26/19 19:34:02,1558913515.49125,          -74.140,            0.660,      9999999.000,            0.000,          -30.565,           0.466,           16.144,           0.026,            0.168,           0.000,           15.668,           0.000,      9999999.000,           0.000,         1110.642,           0.888,           12.108,           0.011,            0.043,           0.003,            0.000,              ,                     ,                     ,                     ,                     
