Run#,Vessel,Colony,Time,Pressure_Pa,Pressure_atm,VesselVol,TermPreWet,TermVol,PercSurv,WoodLabel,WoodVol,WoodPreDry,WoodPreWet,WoodPostDry,HSVol,WoodPerH2O,WoodLoss,WoodPerLoss
1,5,WH2b,40,98597,0.9731,2086,4.35,4.22,99.4,F2,58,28.538,50.182,27.921,2024,43.1,0.62,2.2
1,5,WH2b,48,98431,0.9714,2086,4.35,4.22,99.4,F2,58,28.538,50.182,27.921,2024,43.1,0.62,2.2
1,5,WH2b,64,99023,0.9773,2086,4.35,4.22,99.4,F2,58,28.538,50.182,27.921,2024,43.1,0.62,2.2
1,5,WH2b,72,98826,0.9753,2086,4.35,4.22,99.4,F2,58,28.538,50.182,27.921,2024,43.1,0.62,2.2
1,5,WH2b,88,99085,0.9779,2086,4.35,4.22,99.4,F2,58,28.538,50.182,27.921,2024,43.1,0.62,2.2
1,5,WH2b,96,98994,0.977,2086,4.35,4.22,99.4,F2,58,28.538,50.182,27.921,2024,43.1,0.62,2.2
1,5,WH2b,112,99149,0.9785,2086,4.35,4.22,99.4,F2,58,28.538,50.182,27.921,2024,43.1,0.62,2.2
1,6,WH2a,0,98636,0.9735,1922,4.35,4.22,92.8,F3,65,29.741,51.863,29.131,1853,42.7,0.61,2.1
1,6,WH2a,16,98487,0.972,1922,4.35,4.22,92.8,F3,65,29.741,51.863,29.131,1853,42.7,0.61,2.1
1,6,WH2a,24,98084,0.968,1922,4.35,4.22,92.8,F3,65,29.741,51.863,29.131,1853,42.7,0.61,2.1
1,6,WH2a,40,98518,0.9723,1922,4.35,4.22,92.8,F3,65,29.741,51.863,29.131,1853,42.7,0.61,2.1
1,6,WH2a,48,99389,0.9809,1922,4.35,4.22,92.8,F3,65,29.741,51.863,29.131,1853,42.7,0.61,2.1
1,6,WH2a,64,99017,0.9772,1922,4.35,4.22,92.8,F3,65,29.741,51.863,29.131,1853,42.7,0.61,2.1
1,6,WH2a,72,98793,0.975,1922,4.35,4.22,92.8,F3,65,29.741,51.863,29.131,1853,42.7,0.61,2.1
1,6,WH2a,88,99076,0.9778,1922,4.35,4.22,92.8,F3,65,29.741,51.863,29.131,1853,42.7,0.61,2.1
1,6,WH2a,96,98983,0.9769,1922,4.35,4.22,92.8,F3,65,29.741,51.863,29.131,1853,42.7,0.61,2.1
1,6,WH2a,112,99170,0.9787,1922,4.35,4.22,92.8,F3,65,29.741,51.863,29.131,1853,42.7,0.61,2.1
1,7,,0,,,1993,0,0,,,45,25.526,38.44,24.338,1948,33.6,1.19,4.7
1,7,,16,,,1993,0,0,,,45,25.526,38.44,24.338,1948,33.6,1.19,4.7
1,7,,24,,,1993,0,0,,,45,25.526,38.44,24.338,1948,33.6,1.19,4.7
1,7,,40,,,1993,0,0,,,45,25.526,38.44,24.338,1948,33.6,1.19,4.7
1,7,,48,,,1993,0,0,,,45,25.526,38.44,24.338,1948,33.6,1.19,4.7
1,7,,64,,,1993,0,0,,,45,25.526,38.44,24.338,1948,33.6,1.19,4.7
1,7,,72,,,1993,0,0,,,45,25.526,38.44,24.338,1948,33.6,1.19,4.7
1,7,,88,,,1993,0,0,,,45,25.526,38.44,24.338,1948,33.6,1.19,4.7
1,7,,96,,,1993,0,0,,,45,25.526,38.44,24.338,1948,33.6,1.19,4.7
1,7,,112,,,1993,0,0,,,45,25.526,38.44,24.338,1948,33.6,1.19,4.7
1,8,,0,,,2099,0,0,,,40,18.864,41.06,18.535,2059,54.1,0.33,1.7
1,8,,16,,,2099,0,0,,,40,18.864,41.06,18.535,2059,54.1,0.33,1.7
1,8,,24,,,2099,0,0,,,40,18.864,41.06,18.535,2059,54.1,0.33,1.7
1,8,,40,,,2099,0,0,,,40,18.864,41.06,18.535,2059,54.1,0.33,1.7
1,8,,48,,,2099,0,0,,,40,18.864,41.06,18.535,2059,54.1,0.33,1.7
1,8,,64,,,2099,0,0,,,40,18.864,41.06,18.535,2059,54.1,0.33,1.7
1,8,,72,,,2099,0,0,,,40,18.864,41.06,18.535,2059,54.1,0.33,1.7
1,8,,88,,,2099,0,0,,,40,18.864,41.06,18.535,2059,54.1,0.33,1.7
1,8,,96,,,2099,0,0,,,40,18.864,41.06,18.535,2059,54.1,0.33,1.7
1,8,,112,,,2099,0,0,,,40,18.864,41.06,18.535,2059,54.1,0.33,1.7
2,1,WH3,0,99416,0.9812,2279,4.65,4.51,,F12,55,26.33,35.993,25.856,2219,26.8,0.47,1.8
2,1,WH3,16,99485,0.9818,2279,4.65,4.51,,F12,55,26.33,35.993,25.856,2219,26.8,0.47,1.8
2,1,WH3,24,99204,0.9791,2279,4.65,4.51,,F12,55,26.33,35.993,25.856,2219,26.8,0.47,1.8
2,1,WH3,40,99147,0.9785,2279,4.65,4.51,,F12,55,26.33,35.993,25.856,2219,26.8,0.47,1.8
2,1,WH3,48,98804,0.9751,2279,4.65,4.51,,F12,55,26.33,35.993,25.856,2219,26.8,0.47,1.8
2,1,WH3,64,98902,0.9761,2279,4.65,4.51,,F12,55,26.33,35.993,25.856,2219,26.8,0.47,1.8
2,1,WH3,72,98694,0.974,2279,4.65,4.51,,F12,55,26.33,35.993,25.856,2219,26.8,0.47,1.8
2,1,WH3,88,98221,0.9694,2279,4.65,4.51,,F12,55,26.33,35.993,25.856,2219,26.8,0.47,1.8
