Run Num,Sample Bag,      Date/Time,     Timestamp,HR Delta iCH4 Mean,HR Delta iCH4 Std,HP Delta iCH4 Mean,HP Delta iCH4 Std, Delta 13CO2 Mean, Delta 13CO2 Std,    HR 12CH4 Mean,    HR 12CH4 Std,    HR 13CH4 Mean,    HR 13CH4 Std,    HP 12CH4 Mean,    HP 12CH4 Std,    HP 13CH4 Mean,    HP 13CH4 Std,       12CO2 Mean,       12CO2 Std,       13CO2 Mean,       13CO2 Std,         H2O Mean,         H2O Std,  ChemDetect Mean,Valve Position,  Standard Delta iCH4,  Standard Delta iCO2,       Standard 13CH4,       Standard 13CO2
      1,         1,05/22/19 11:28:49,1558538802.73928,          -40.390,            1.393,          -44.536,            0.891,          -13.171,           9.853,            9.526,           0.018,            0.103,           0.000,            9.563,           0.017,            0.103,           0.000,           38.724,           0.193,            0.431,           0.005,            0.173,           0.008,            0.000,              ,                     ,                     ,                     ,                     
      2,         1,05/22/19 11:40:09,1558539483.60223,          -40.297,            1.276,          -44.503,            0.974,          -14.184,          15.590,           10.661,           0.021,            0.115,           0.000,           10.701,           0.018,            0.115,           0.000,           24.868,           0.124,            0.276,           0.004,            0.091,           0.005,            0.000,              ,                     ,                     ,                     ,                     
      3,         1,05/22/19 11:52:32,1558540227.03220,          -46.952,            6.490,          -56.459,            4.712,          -21.971,           1.909,            1.990,           0.011,            0.021,           0.000,            1.992,           0.004,            0.021,           0.000,          196.862,           0.217,            2.166,           0.005,            0.074,           0.004,            0.000,              ,                     ,                     ,                     ,                     
      4,         1,05/22/19 12:03:59,1558540913.49232,          -52.467,            2.842,          -60.408,            2.345,          -22.653,           1.088,            4.680,           0.011,            0.050,           0.000,            4.698,           0.008,            0.050,           0.000,          376.423,           0.326,            4.138,           0.006,            0.061,           0.004,            0.000,              ,                     ,                     ,                     ,                     
      5,         1,05/22/19 12:16:41,1558541675.50991,          -61.880,            2.379,          -70.108,            1.442,          -24.173,           0.940,            5.840,           0.016,            0.062,           0.000,            5.862,           0.010,            0.061,           0.000,          442.791,           0.383,            4.860,           0.005,            0.058,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      6,         1,05/22/19 12:28:25,1558542380.37048,          -66.981,            2.532,          -76.194,            1.663,          -25.490,           0.846,            5.596,           0.016,            0.059,           0.000,            5.618,           0.010,            0.058,           0.000,          397.639,           0.361,            4.358,           0.005,            0.051,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      7,         1,05/22/19 12:39:47,1558543061.42425,          -53.935,            7.919,          -68.119,            5.584,          -23.092,           1.591,            1.547,           0.011,            0.016,           0.000,            1.549,           0.003,            0.016,           0.000,          238.736,           0.265,            2.623,           0.005,            0.048,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      8,         1,05/22/19 12:52:01,1558543795.83104,          -55.854,            1.127,          -62.283,            0.772,          -22.016,           0.727,           10.151,           0.019,            0.108,           0.000,           10.191,           0.017,            0.107,           0.000,          474.706,           0.376,            5.221,           0.005,            0.044,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      9,         1,05/22/19 13:03:59,1558544513.57426,          -62.554,            1.940,          -71.060,            1.396,          -24.257,           0.858,            6.060,           0.016,            0.064,           0.000,            6.084,           0.011,            0.064,           0.000,          483.333,           0.407,            5.303,           0.006,            0.041,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     10,         1,05/22/19 13:15:10,1558545184.43859,          -60.722,            1.337,          -68.026,            1.007,          -23.944,           0.595,            9.517,           0.020,            0.101,           0.000,            9.556,           0.016,            0.100,           0.000,          719.050,           0.568,            7.892,           0.007,            0.042,           0.003,            0.000,              ,                     ,                     ,                     ,                     
