Run Num,Sample Bag,      Date/Time,     Timestamp,HR Delta iCH4 Mean,HR Delta iCH4 Std,HP Delta iCH4 Mean,HP Delta iCH4 Std, Delta 13CO2 Mean, Delta 13CO2 Std,    HR 12CH4 Mean,    HR 12CH4 Std,    HR 13CH4 Mean,    HR 13CH4 Std,    HP 12CH4 Mean,    HP 12CH4 Std,    HP 13CH4 Mean,    HP 13CH4 Std,       12CO2 Mean,       12CO2 Std,       13CO2 Mean,       13CO2 Std,         H2O Mean,         H2O Std,  ChemDetect Mean,Valve Position,  Standard Delta iCH4,  Standard Delta iCO2,       Standard 13CH4,       Standard 13CO2
      1,         1,05/23/19 09:57:29,1558619723.79640,          -70.467,            1.018,        12818.285,           29.489,          -25.879,           0.619,           11.357,           0.020,            0.119,           0.000,            0.794,           0.000,            0.123,           0.000,          915.367,           0.692,           10.041,           0.009,            0.124,           0.008,            0.000,              ,                     ,                     ,                     ,                     
      2,         1,05/23/19 10:08:09,1558620363.12876,          -69.733,            2.662,         4200.819,           12.920,          -25.994,           0.602,            4.302,           0.012,            0.045,           0.000,            0.794,           0.000,            0.046,           0.000,          738.126,           0.571,            8.090,           0.007,            0.077,           0.005,            0.000,              ,                     ,                     ,                     ,                     
      3,         1,05/23/19 10:20:20,1558621094.78457,          -63.267,            0.602,      9999999.000,            0.000,          -23.635,           0.558,           21.741,           0.034,            0.229,           0.000,            0.794,           0.000,      9999999.000,           0.000,          925.642,           0.764,           10.166,           0.010,            0.058,           0.004,            0.000,              ,                     ,                     ,                     ,                     
      4,         1,05/23/19 10:32:12,1558621806.56437,          -46.347,            6.826,          -57.892,            4.235,          -21.546,           1.882,            1.999,           0.011,            0.021,           0.000,            2.004,           0.004,            0.021,           0.000,          199.805,           0.243,            2.199,           0.005,            0.049,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      5,         1,05/23/19 10:43:32,1558622486.73684,          -68.240,            1.211,          -76.013,            0.811,          -24.681,           0.433,           12.840,           0.025,            0.135,           0.000,           12.894,           0.021,            0.134,           0.000,         1054.366,           0.770,           11.565,           0.008,            0.048,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      6,         1,05/23/19 10:55:13,1558623187.31863,          -65.402,            0.671,      9999999.000,            0.000,          -24.454,           0.332,           16.527,           0.028,            0.174,           0.000,           16.137,           0.000,      9999999.000,           0.000,         1253.341,           0.901,           13.751,           0.010,            0.047,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      7,         1,05/23/19 11:07:09,1558623903.78091,          -67.925,            0.788,      9999999.000,            0.000,          -25.213,           0.368,           15.750,           0.025,            0.165,           0.000,           15.536,           0.000,      9999999.000,           0.000,         1228.348,           0.877,           13.464,           0.011,            0.038,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      8,         1,05/23/19 11:18:23,1558624577.61287,          -71.516,            1.360,          -79.690,            0.898,          -25.894,           0.473,           11.930,           0.022,            0.125,           0.000,           11.979,           0.020,            0.124,           0.000,          983.817,           0.735,           10.776,           0.009,            0.037,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      9,         1,05/23/19 11:31:01,1558625335.52734,          -70.164,            2.735,          -80.455,            2.258,          -26.151,           0.495,            4.807,           0.014,            0.050,           0.000,            4.826,           0.008,            0.050,           0.000,          850.532,           0.670,            9.314,           0.008,            0.038,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     10,         1,05/23/19 11:43:18,1558626072.92468,          -64.095,            0.509,      9999999.000,            0.000,          -23.922,           0.456,           23.438,           0.039,            0.247,           0.000,           21.876,           0.000,      9999999.000,           0.000,         1001.718,           0.679,           10.993,           0.009,            0.032,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     11,         1,05/23/19 11:55:29,1558626803.73376,          -68.127,            1.230,          -76.609,            1.005,          -24.906,           0.629,            9.255,           0.018,            0.097,           0.000,            9.295,           0.015,            0.096,           0.000,          783.461,           0.678,            8.589,           0.008,            0.028,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     12,         1,05/23/19 12:07:53,1558627547.84503,          -68.387,            1.315,          -76.520,            1.064,          -24.872,           0.717,            9.245,           0.017,            0.097,           0.000,            9.282,           0.015,            0.096,           0.000,          781.340,           0.603,            8.566,           0.009,            0.028,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     13,         1,05/23/19 13:15:21,1558631595.27115,          -67.070,            0.618,      9999999.000,            0.000,          -24.530,           0.390,           19.226,           0.032,            0.202,           0.000,           17.582,           0.000,      9999999.000,           0.000,         1483.725,           1.021,           16.283,           0.013,            0.069,           0.005,            0.000,              ,                     ,                     ,                     ,                     
     14,         1,05/23/19 13:26:44,1558632278.60769,          -68.650,            0.655,      9999999.000,            0.000,          -25.086,           0.427,           18.113,           0.030,            0.190,           0.000,           17.000,           0.000,      9999999.000,           0.000,         1463.349,           0.990,           16.045,           0.012,            0.049,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     15,         1,05/23/19 13:38:35,1558632989.58649,          -72.118,            1.034,          -80.221,            0.779,          -26.075,           0.498,           13.782,           0.023,            0.144,           0.000,           13.840,           0.024,            0.143,           0.000,         1183.916,           0.951,           12.965,           0.011,            0.035,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     16,         1,05/23/19 13:50:19,1558633693.77727,          -71.636,            2.285,          -82.010,            1.851,          -26.563,           0.490,            5.538,           0.014,            0.058,           0.000,            5.562,           0.010,            0.057,           0.000,         1037.640,           0.786,           11.356,           0.010,            0.030,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     17,         1,05/23/19 14:01:39,1558634373.47565,          -65.506,            0.440,      9999999.000,            0.000,          -23.748,           0.457,           30.930,           0.048,            0.325,           0.001,           26.754,           0.000,      9999999.000,           0.000,         1315.658,           1.034,           14.441,           0.011,            0.029,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     18,         1,05/23/19 14:13:27,1558635080.83516,          -70.535,            0.633,      9999999.000,            0.000,          -24.971,           0.410,           16.369,           0.025,            0.171,           0.000,           16.077,           0.000,      9999999.000,           0.000,         1376.735,           1.018,           15.091,           0.012,            0.027,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     19,         1,05/23/19 14:25:20,1558635794.57437,          -67.130,            0.467,      9999999.000,            0.000,          -24.718,           0.455,           20.030,           0.033,            0.210,           0.000,           18.943,           0.000,      9999999.000,           0.000,         1555.362,           1.155,           17.054,           0.014,            0.028,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     20,         1,05/23/19 14:36:25,1558636458.49077,          -68.904,            0.584,      9999999.000,            0.000,          -25.214,           0.343,           18.948,           0.032,            0.198,           0.000,           18.244,           0.000,      9999999.000,           0.000,         1555.416,           1.143,           17.046,           0.013,            0.026,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     21,         1,05/23/19 14:47:22,1558637115.42191,          -72.301,            0.955,      6559971.834,      4750448.024,          -26.124,           0.485,           14.425,           0.028,            0.150,           0.000,           14.473,           0.013,      6559999.395,     4750409.963,         1257.027,           0.928,           13.762,           0.012,            0.023,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     22,         1,05/23/19 15:28:44,1558639598.23836,          -72.842,            2.247,          -82.534,            1.824,          -26.715,           0.335,            5.714,           0.014,            0.060,           0.000,            5.736,           0.010,            0.059,           0.000,         1104.048,           0.734,           12.087,           0.010,            0.058,           0.005,            0.000,              ,                     ,                     ,                     ,                     
     23,         1,05/23/19 15:40:20,1558640294.03610,          -66.001,            0.389,      9999999.000,            0.000,          -23.932,           0.513,           31.742,           0.051,            0.333,           0.001,           28.282,           0.000,      9999999.000,           0.000,         1362.533,           1.058,           14.954,           0.012,            0.035,           0.003,            0.000,              ,                     ,                     ,                     ,                     
     24,         1,05/23/19 15:52:02,1558640996.67576,          -71.099,            0.590,      9999999.000,            0.000,          -25.181,           0.410,           18.590,           0.030,            0.194,           0.000,           17.381,           0.000,      9999999.000,           0.000,         1577.583,           1.198,           17.290,           0.014,            0.029,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     25,         1,05/23/19 16:03:22,1558641676.82426,          -67.807,            0.559,      9999999.000,            0.000,          -24.735,           0.418,           23.094,           0.037,            0.242,           0.000,           21.159,           0.000,      9999999.000,           0.000,         1858.421,           1.441,           20.377,           0.016,            0.028,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     26,         1,05/23/19 16:16:23,1558642456.78831,          -69.097,            0.576,      9999999.000,            0.000,          -25.283,           0.394,           20.680,           0.035,            0.216,           0.000,           19.338,           0.000,      9999999.000,           0.000,         1719.897,           1.347,           18.847,           0.015,            0.028,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     27,         1,05/23/19 16:28:25,1558643179.93535,          -69.509,            0.619,      9999999.000,            0.000,          -25.252,           0.357,           20.380,           0.035,            0.213,           0.000,           19.412,           0.000,      9999999.000,           0.000,         1693.671,           1.333,           18.559,           0.016,            0.022,           0.002,            0.000,              ,                     ,                     ,                     ,                     
